user_id,shape_id,item_id,cheek_jaw,face_hw,midface,label
176,0,4,1.3043832371771076,1.0543832371771076,0.35438323717710757,1
178,0,22,1.4392451492855542,1.1892451492855542,0.48924514928555424,0
227,3,22,1.120562453411321,1.070562453411321,0.4705624534113208,0
107,4,14,1.1026932413511754,1.1526932413511755,0.5526932413511754,0
227,4,38,1.0275521358609008,1.0775521358609008,0.4775521358609008,1
116,2,2,1.315979024197571,1.4159790241975712,0.5659790241975711,0
389,0,14,1.4771417111925986,1.2271417111925986,0.5271417111925988,0
142,2,0,1.2430602700975752,1.3430602700975753,0.4930602700975753,0
465,2,31,1.2086315078134267,1.3086315078134267,0.45863150781342676,1
400,0,33,1.5094525898486726,1.2594525898486726,0.5594525898486726,0
379,3,9,1.0563103653351777,1.0063103653351777,0.40631036533517767,0
254,0,22,1.452097686132182,1.202097686132182,0.502097686132182,0
494,4,41,0.9270777819646292,0.9770777819646292,0.3770777819646292,0
206,2,48,1.2392692295491472,1.3392692295491473,0.48926922954914714,1
74,0,31,1.452133888620181,1.202133888620181,0.5021338886201809,0
306,4,0,1.0021124305681064,1.0521124305681064,0.45211243056810635,0
260,3,27,1.108232494203451,1.058232494203451,0.45823249420345075,0
152,1,47,1.1121806416075222,1.5621806416075221,0.6121806416075221,0
334,1,10,1.13604991238421,1.58604991238421,0.6360499123842098,1
7,0,8,1.4732754792386054,1.2232754792386054,0.5232754792386054,1
380,2,42,1.26972300773799,1.36972300773799,0.51972300773799,1
391,2,25,1.3108908272512292,1.4108908272512293,0.5608908272512292,0
450,3,6,1.1560460657986613,1.1060460657986613,0.5060460657986612,0
475,4,16,0.959267487855957,1.009267487855957,0.4092674878559569,0
88,2,31,1.248056262602112,1.3480562626021122,0.49805626260211217,1
377,2,39,1.216085504341254,1.316085504341254,0.46608550434125384,1
33,2,49,1.3055837481586239,1.405583748158624,0.5555837481586239,1
435,0,31,1.474474965230848,1.224474965230848,0.5244749652308479,0
186,3,18,1.0892641658578839,1.0392641658578838,0.43926416585788375,0
452,2,38,1.2197272161256425,1.3197272161256426,0.46972721612564244,1
331,2,4,1.2708400207492896,1.3708400207492897,0.5208400207492896,1
468,3,41,1.0706535552851204,1.0206535552851204,0.4206535552851204,0
131,3,22,1.1365451308793286,1.0865451308793286,0.4865451308793285,0
153,0,0,1.450859499175468,1.200859499175468,0.500859499175468,1
43,2,13,1.2511144559413154,1.3511144559413155,0.5011144559413153,1
11,2,19,1.1532422953851276,1.2532422953851277,0.4032422953851276,1
302,3,40,1.0952438628113121,1.045243862811312,0.4452438628113121,0
